0	421	181
1	430	193
2	512	200
3	499	188
4	488	199
5	442	192
6	452	212
7	462	189
8	458	189
9	497	201
10	514	202
11	407	204
12	409	195
13	464	193
14	477	192
15	463	197
16	554	191
17	426	191
18	0	0
19	19	12
20	20	17
21	42	15
22	49	25
23	0	0
24	83	45
25	0	0
26	0	0
27	10	9
28	48	34
29	101	59
30	4	4
31	0	0
32	35	25
33	0	0
34	15	15
35	0	0
36	288	101
37	0	0
38	9	8
39	43	24
40	44	40
41	8	5
42	62	42
43	0	0
44	26	25
45	26	25
46	45	42
47	17	14
48	39	27
49	29	19
50	0	0
51	32	22
52	13	11
53	25	12
54	5	2
55	10	10
56	0	0
57	23	17
58	131	86
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	5	5
65	0	0
66	23	15
67	95	86
68	0	0
69	9	8
70	58	52
71	0	0
72	0	0
73	0	0
74	0	0
75	18	17
76	0	0
77	0	0
78	41	34
79	9	9
80	0	0
81	1	1
82	0	0
83	6	5
84	1	1
85	13	6
86	11	8
87	1	1
88	60	52
89	12	5
90	0	0
91	0	0
92	0	0
93	15	13
94	0	0
95	71	59
96	2	1
97	10	10
98	9	8
99	50	46
100	35	35
101	1	1
102	14	13
103	3	3
104	8	7
105	3	2
106	15	13
107	253	130
108	4	4
109	0	0
110	0	0
111	24	20
112	8	8
113	3	1
114	8	8
115	10	7
116	0	0
117	19	18
118	31	13
119	5	5
120	0	0
121	26	14
122	122	82
123	0	0
124	24	16
125	5	5
126	49	30
127	67	59
128	0	0
129	224	103
130	0	0
131	26	20
132	0	0
133	8	8
134	7	6
135	6	3
136	2	2
137	118	88
138	33	26
139	168	120
140	24	9
141	19	18
142	1	1
143	52	44
144	1	1
145	3	2
146	82	65
147	0	0
148	86	69
149	2	2
150	26	14
151	12	7
152	0	0
153	1	1
154	11	9
155	0	0
156	20	18
157	0	0
158	0	0
159	31	20
160	32	27
161	0	0
162	1	1
163	78	60
164	13	12
165	0	0
166	10	6
167	36	31
168	4	4
169	0	0
170	14	6
171	0	0
172	0	0
173	0	0
174	18	13
175	0	0
176	3	3
177	0	0
178	0	0
179	22	22
180	26	23
181	0	0
182	0	0
183	1	1
184	4	3
185	25	14
186	65	52
187	0	0
188	39	28
189	0	0
190	82	37
191	0	0
192	12	6
193	0	0
194	18	14
195	21	17
196	0	0
197	29	29
198	0	0
199	0	0
200	0	0
201	11	9
202	16	11
203	0	0
204	91	74
205	2	2
206	0	0
207	21	21
208	0	0
209	93	62
210	50	38
211	6	1
212	0	0
213	14	13
214	0	0
215	28	19
